date,g,f,m,i,p,ticker
3/29/2017,0.344,0.286,0.482,0.382,3.93,GRPN
3/30/2017,0.346,0.286,0.468,0.388,3.96,GRPN
3/31/2017,0.344,0.286,0.468,0.386,3.93,GRPN
4/3/2017,0.344,0.284,0.462,0.39,3.89,GRPN
4/4/2017,0.342,0.282,0.456,0.39,3.79,GRPN
4/5/2017,0.344,0.284,0.428,0.4,3.72,GRPN
4/6/2017,0.768,0.234,0.312,0.564,3.8,GRPN
4/7/2017,0.774,0.234,0.324,0.562,3.74,GRPN
4/10/2017,0.772,0.234,0.308,0.566,3.75,GRPN
4/11/2017,0.77,0.23,0.306,0.566,3.75,GRPN
4/12/2017,0.77,0.232,0.308,0.564,3.77,GRPN
4/13/2017,0.766,0.232,0.326,0.556,3.66,GRPN
4/14/2017,0.768,0.23,0.306,0.564,3.66,GRPN
4/17/2017,0.768,0.23,0.306,0.564,3.65,GRPN
4/18/2017,0.766,0.23,0.306,0.564,3.75,GRPN
4/19/2017,0.768,0.23,0.322,0.56,3.78,GRPN
4/20/2017,0.768,0.23,0.328,0.556,3.9,GRPN
4/21/2017,0.768,0.23,0.364,0.544,3.88,GRPN
4/24/2017,0.768,0.234,0.356,0.548,3.89,GRPN
4/25/2017,0.768,0.232,0.358,0.546,3.91,GRPN
4/26/2017,0.758,0.224,0.364,0.538,3.88,GRPN
4/27/2017,0.758,0.222,0.358,0.542,3.99,GRPN
4/28/2017,0.758,0.226,0.368,0.538,3.92,GRPN
5/1/2017,0.766,0.224,0.358,0.544,3.95,GRPN
5/2/2017,0.75,0.228,0.366,0.536,4.0,GRPN
5/3/2017,0.748,0.232,0.386,0.532,3.47,GRPN
5/4/2017,0.762,0.234,0.256,0.58,3.43,GRPN
5/5/2017,0.8,0.24,0.334,0.568,3.38,GRPN
5/8/2017,0.794,0.238,0.314,0.572,3.55,GRPN
5/9/2017,0.796,0.236,0.35,0.56,3.56,GRPN
5/10/2017,0.796,0.234,0.358,0.558,3.58,GRPN
5/11/2017,0.796,0.228,0.36,0.554,3.5,GRPN
5/12/2017,0.794,0.228,0.342,0.56,3.42,GRPN
5/15/2017,0.796,0.228,0.324,0.566,3.43,GRPN
5/16/2017,0.796,0.226,0.324,0.566,3.39,GRPN
5/17/2017,0.796,0.222,0.304,0.572,3.26,GRPN
5/18/2017,0.798,0.226,0.29,0.578,3.31,GRPN
5/19/2017,0.796,0.228,0.302,0.574,3.32,GRPN
5/22/2017,0.798,0.224,0.296,0.576,3.33,GRPN
5/23/2017,0.796,0.224,0.294,0.576,3.28,GRPN
5/24/2017,0.79,0.224,0.28,0.578,3.33,GRPN
5/25/2017,0.79,0.224,0.314,0.568,3.27,GRPN
5/26/2017,0.79,0.222,0.304,0.57,3.17,GRPN
5/29/2017,0.792,0.222,0.272,0.58,3.17,GRPN
5/30/2017,0.796,0.22,0.27,0.582,3.16,GRPN
5/31/2017,0.796,0.22,0.278,0.58,3.01,GRPN
6/1/2017,0.796,0.22,0.256,0.586,3.11,GRPN
6/2/2017,0.806,0.196,0.276,0.576,3.03,GRPN
6/5/2017,0.806,0.196,0.252,0.584,3.05,GRPN
6/6/2017,0.804,0.196,0.254,0.582,3.03,GRPN
6/7/2017,0.8,0.196,0.25,0.582,3.03,GRPN
6/8/2017,0.802,0.196,0.252,0.582,3.06,GRPN
6/9/2017,0.8,0.196,0.256,0.58,3.04,GRPN
6/12/2017,0.802,0.198,0.248,0.584,3.03,GRPN
6/13/2017,0.802,0.198,0.246,0.584,3.08,GRPN
6/14/2017,0.802,0.196,0.254,0.582,3.15,GRPN
6/15/2017,0.802,0.196,0.266,0.578,3.22,GRPN
6/16/2017,0.804,0.196,0.292,0.57,3.22,GRPN
6/19/2017,0.802,0.198,0.288,0.57,3.18,GRPN
6/20/2017,0.8,0.2,0.282,0.572,3.09,GRPN
6/21/2017,0.796,0.198,0.262,0.576,3.12,GRPN
6/22/2017,0.798,0.198,0.276,0.574,3.21,GRPN
6/23/2017,0.798,0.2,0.292,0.568,3.47,GRPN
6/26/2017,0.792,0.198,0.356,0.544,3.45,GRPN
6/27/2017,0.792,0.196,0.348,0.546,3.43,GRPN
6/28/2017,0.792,0.196,0.346,0.548,3.44,GRPN
6/29/2017,0.516,0.206,0.402,0.44,3.61,GRPN
6/30/2017,0.514,0.206,0.444,0.426,3.84,GRPN
12/19/2014,0.89,0.162,0.426,0.542,35.22,VECO
12/22/2014,0.89,0.164,0.462,0.53,35.89,VECO
12/23/2014,0.888,0.164,0.478,0.526,34.91,VECO
12/24/2014,0.888,0.164,0.454,0.532,34.6,VECO
12/25/2014,0.888,0.164,0.446,0.536,34.6,VECO
12/26/2014,0.888,0.164,0.446,0.536,35.41,VECO
12/29/2014,0.888,0.164,0.466,0.528,35.06,VECO
12/30/2014,0.888,0.164,0.458,0.532,35.06,VECO
12/31/2014,0.888,0.164,0.46,0.53,34.88,VECO
1/1/2015,0.888,0.164,0.46,0.532,34.88,VECO
1/2/2015,0.888,0.164,0.46,0.532,35.12,VECO
1/5/2015,0.888,0.162,0.464,0.528,34.21,VECO
1/6/2015,0.888,0.162,0.452,0.534,33.38,VECO
1/7/2015,0.888,0.164,0.428,0.542,34.21,VECO
1/8/2015,0.888,0.164,0.444,0.536,35.05,VECO
1/9/2015,0.888,0.166,0.448,0.534,34.24,VECO
1/12/2015,0.874,0.194,0.414,0.552,33.7,VECO
1/13/2015,0.874,0.194,0.41,0.552,32.01,VECO
1/14/2015,0.87,0.194,0.362,0.568,31.15,VECO
1/15/2015,0.87,0.196,0.336,0.578,30.66,VECO
1/16/2015,0.87,0.194,0.32,0.582,31.32,VECO
1/19/2015,0.87,0.194,0.33,0.578,31.32,VECO
1/20/2015,0.87,0.194,0.332,0.578,31.37,VECO
1/21/2015,0.87,0.196,0.338,0.576,31.3,VECO
1/22/2015,0.87,0.196,0.326,0.58,31.64,VECO
1/23/2015,0.87,0.198,0.326,0.58,31.53,VECO
1/26/2015,0.868,0.202,0.32,0.584,31.64,VECO
1/27/2015,0.868,0.202,0.32,0.582,31.22,VECO
1/28/2015,0.868,0.206,0.308,0.588,30.38,VECO
1/29/2015,0.868,0.208,0.288,0.596,30.22,VECO
1/30/2015,0.87,0.206,0.28,0.598,29.17,VECO
2/2/2015,0.868,0.206,0.262,0.604,29.12,VECO
2/3/2015,0.868,0.204,0.244,0.61,29.32,VECO
2/4/2015,0.868,0.202,0.246,0.608,29.58,VECO
2/5/2015,0.868,0.202,0.252,0.606,30.04,VECO
2/6/2015,0.87,0.202,0.256,0.606,30.56,VECO
2/9/2015,0.872,0.202,0.266,0.602,30.46,VECO
2/10/2015,0.874,0.202,0.27,0.602,30.38,VECO
2/11/2015,0.872,0.202,0.262,0.604,30.3,VECO
2/12/2015,0.874,0.204,0.264,0.604,30.75,VECO
2/13/2015,0.876,0.206,0.262,0.606,30.45,VECO
2/16/2015,0.876,0.206,0.252,0.61,30.45,VECO
2/17/2015,0.876,0.208,0.254,0.61,31.14,VECO
2/18/2015,0.876,0.208,0.27,0.604,31.33,VECO
2/19/2015,0.978,0.038,0.856,0.386,29.77,VECO
2/20/2015,0.976,0.038,0.844,0.39,29.87,VECO
2/23/2015,0.976,0.038,0.846,0.39,29.62,VECO
2/24/2015,0.976,0.038,0.844,0.39,30.32,VECO
2/25/2015,0.976,0.038,0.85,0.388,29.93,VECO
2/26/2015,0.976,0.038,0.844,0.39,30.07,VECO
2/27/2015,0.976,0.038,0.846,0.39,30.49,VECO
3/2/2015,0.974,0.038,0.85,0.388,31.0,VECO
3/3/2015,0.976,0.038,0.854,0.388,30.57,VECO
3/4/2015,0.976,0.038,0.848,0.388,30.09,VECO
3/5/2015,0.976,0.038,0.844,0.39,31.15,VECO
3/6/2015,0.978,0.038,0.856,0.386,31.12,VECO
3/9/2015,0.978,0.038,0.858,0.386,31.57,VECO
3/10/2015,0.976,0.038,0.858,0.386,30.93,VECO
3/11/2015,0.976,0.038,0.858,0.386,31.27,VECO
3/12/2015,0.976,0.038,0.86,0.384,31.34,VECO
3/13/2015,0.976,0.038,0.86,0.384,31.7,VECO
3/16/2015,0.978,0.04,0.858,0.386,31.72,VECO
3/17/2015,0.978,0.04,0.856,0.386,31.49,VECO
3/18/2015,0.978,0.04,0.854,0.388,31.1,VECO
3/19/2015,0.978,0.04,0.852,0.388,32.29,VECO
3/20/2015,0.978,0.04,0.862,0.386,32.71,VECO
3/23/2015,0.978,0.04,0.864,0.384,33.12,VECO
3/24/2015,0.978,0.04,0.864,0.384,33.11,VECO
3/25/2015,0.978,0.038,0.864,0.384,31.94,VECO
3/26/2015,0.978,0.038,0.858,0.386,30.95,VECO
3/27/2015,0.978,0.038,0.852,0.388,30.75,VECO
3/30/2015,0.978,0.038,0.848,0.39,30.46,VECO
3/31/2015,0.978,0.04,0.842,0.392,30.55,VECO
4/1/2015,0.978,0.04,0.846,0.39,30.7,VECO
4/2/2015,0.978,0.04,0.846,0.39,31.52,VECO
4/3/2015,0.978,0.04,0.85,0.39,31.52,VECO
